city,STUSAB,HD,LO,place,name,zipcode,income_per_capita,population,under44_1,under44_2,under44_3,older65_1,older_65_2
Allen,TX,1,1,45384,"McAllen city, Texas",75013,22444,141597,13680,20085,19377,9529,8623
Allen Park,MI,1,1,01380,"Allen Park city, Michigan",48101,33981,27353,2126,3410,3598,2261,2228
Allentown,PA,1,,02000,"Allentown city, Pennsylvania",18103,20235,120410,15140,18922,14770,7719,6654
Alliance,OH,,1,01420,"Alliance city, Ohio",44601,20030,21927,3472,2544,2217,2006,1866
Allison Park,PA,1,,02056,"Allison Park CDP, Pennsylvania",15101,43964,22855,1747,2433,2585,2323,2293
Alpena,MI,1,,01740,"Alpena city, Michigan",49707,22806,10086,838,1188,1296,1023,1126
Alpharetta,GA,1,,01696,"Alpharetta city, Georgia",30004,54474,64672,3739,7003,10217,3658,2393
Alsip,IL,1,,01010,"Alsip village, Illinois",60803,27413,19179,1761,2889,2481,1827,1053
Altamonte Springs,FL,1,1,00950,"Altamonte Springs city, Florida",32714,30661,43426,3268,8594,6444,3527,2909
Alton,IL,1,1,01114,"Alton city, Illinois",62002,23274,26884,1887,4006,3320,2441,1897
Altoona,IA,,1,01630,"Altoona city, Iowa",50009,33750,17936,1463,2446,2733,1206,877
Altoona,PA,1,1,02184,"Altoona city, Pennsylvania",16602,22995,44372,4133,6117,5580,3905,3204
Alvin,TX,1,,02272,"Alvin city, Texas",77511,24401,26154,2829,3831,3590,1737,1502
Amarillo,TX,2,2,03000,"Amarillo city, Texas",79109,27950,198773,18746,30619,25196,14482,11249
American Fork,UT,1,,01310,"American Fork city, Utah",84003,24551,29384,3039,3785,4041,1647,1269
Americus,GA,,1,02116,"Americus city, Georgia",31709,18061,15659,2916,1769,1774,1211,709
Ames,IA,,1,01855,"Ames city, Iowa",50010,25606,65937,28413,9131,5276,3502,2853
Amherst,NH,,1,01220,"Amherst CDP, New Hampshire",03031,98811,709,12,31,66,70,51
Amherst,NY,1,1,,,14228,,,,,,,
Amsterdam,NY,1,1,02066,"Amsterdam city, New York",12010,21135,17927,1753,2607,2051,1468,1460
Anaheim,CA,2,1,02000,"Anaheim city, California",92801,27501,349668,36658,56626,47115,22309,16586
Anchorage,AK,3,3,03000,"Anchorage municipality, Alaska",99503,39839,296112,30921,51563,37921,19498,9994
Anderson,IN,,1,01468,"Anderson city, Indiana",46013,20797,54788,5931,7656,6412,5305,4273
Anderson,SC,1,2,01360,"Anderson city, South Carolina",19621,22632,27129,3220,3743,2698,2602,2744
Ankeny,IA,1,,02305,"Ankeny city, Iowa",50021,38879,59152,5828,10044,8944,3459,2248
Ann Arbor,MI,,1,03000,"Ann Arbor city, Michigan",48187,40868,120641,38000,21164,11609,7923,5958
Annapolis,MD,2,,01635,"Annapolis Neck CDP, Maryland",21401,74654,11590,520,1091,1042,1530,1203
Anniston,AL,,1,01852,"Anniston city, Alabama",36205,24874,21924,1853,2917,2347,2692,1801
Antioch,CA,,2,02252,"Antioch city, California",94509,28138,110730,11045,15032,14185,7668,5331
Antioch,TN,1,,,,37013,,,,,,,
Apex,NC,1,1,01520,"Apex town, North Carolina",27502,43769,48254,2768,4733,9217,2356,1393
Apopka,FL,1,1,01700,"Apopka city, Florida",32712,29400,50529,4105,7100,6243,3664,2773
Apple Valley,CA,1,1,02364,"Apple Valley town, California",92308,25377,72359,6126,8760,7912,7342,5125
Apple Valley,MN,1,,01900,"Apple Valley city, Minnesota",55124,41673,51931,4239,6341,6597,4457,2681
Appleton,WI,1,1,02375,"Appleton city, Wisconsin",54915,30517,74234,7126,10551,9579,5316,4353
Aransas Pass,TX,,1,03600,"Aransas Pass city, Texas",78336,21933,8113,625,1084,824,890,719
Ardmore,OK,,1,02600,"Ardmore city, Oklahoma",73401,24640,24892,1883,3402,3026,2198,1939
Arlington,TX,2,1,04000,"Arlington city, Texas",76011,27513,392462,43257,60589,52877,25708,14393
Arlington,WA,,1,02585,"Arlington city, Washington",16518,30919,19154,1597,2246,2991,1413,1067
Arlington Heights,IL,,1,02154,"Arlington Heights village, Illinois",62702,49049,75724,3781,9177,9815,7593,7491
Arnold,MO,1,,01972,"Arnold city, Missouri",63010,29473,21107,1630,3032,2466,1880,1873
Arvada,CO,1,1,03455,"Arvada city, Colorado",80002,40943,117251,8041,16727,16034,11718,8146
Ashburn,VA,1,,03320,"Ashburn CDP, Virginia",20147,53930,50290,3640,6628,7568,2882,2676
Asheboro,NC,,1,02080,"Asheboro city, North Carolina",27205,20870,25859,2542,3116,3566,2187,2139
Asheville,NC,2,2,02140,"Asheville city, North Carolina",28803,32459,90531,8246,15472,13306,9201,7412
Ashland,OH,1,,02568,"Ashland city, Ohio",44805,24594,20396,3186,2407,2208,1743,1988
Ashland,VA,1,,03368,"Ashland town, Virginia",23005,26080,7655,1925,792,833,588,618
Ashtabula,OH,1,1,02638,"Ashtabula city, Ohio",44004,17121,18243,1542,2301,2039,1814,1208
Aspen Hill,MD,1,,02825,"Aspen Hill CDP, Maryland",20906,37078,52807,5125,7076,7012,3615,3146
Atascadero,CA,1,,03064,"Atascadero city, California",93422,38371,30037,2327,4321,3949,2773,2096
Athens,AL,,1,02956,"Athens city, Alabama",35611,29336,25176,2148,3254,3260,2517,2007
Athens,GA,1,2,03440,"Athens-Clarke County unified government (balance), Georgia",30606,22498,123310,33378,20445,13783,7536,5101
Athens,OH,,1,02736,"Athens city, Ohio",45701,15387,24771,15675,2566,1313,768,525
