city,STUSAB,HD,LO,place,name,zipcode,income_per_capita,population,under44_1,under44_2,under44_3,older65_1,older_65_2
Dubuque,IA,,1,22395,"Dubuque city, Iowa",52003,27703,58340,7273,8539,5588,4862,5338
Duluth,GA,2,,24600,"Duluth city, Georgia",30096,30921,29239,2491,4138,4297,2025,1459
Duluth,MN,1,,17000,"Duluth city, Minnesota",55811,29667,86004,16907,11301,9359,7324,6331
Dunkirk,NY,1,,21105,"Dunkirk city, New York",14048,21410,11950,1163,1494,1396,1259,769
Durango,CO,1,,22035,"Durango city, Colorado",81303,40046,18321,2964,3453,2379,1333,859
Durant,OK,,1,22050,"Durant city, Oklahoma",74701,20359,17517,2640,2856,2002,1576,1026
Durham,NC,2,2,19000,"Durham city, North Carolina",27704,32932,264310,29138,50428,37177,18164,11665
Dyersburg,TN,,1,22200,"Dyersburg city, Tennessee",38024,26656,16559,1505,1932,2050,1612,1223
E. Rutherford,NJ,,1,,,07072,,,,,,,
Eagan,MN,1,,17288,"Eagan city, Minnesota",55121,45545,66363,5188,9623,9349,5024,2571
Eagle,ID,1,,23410,"Eagle city, Idaho",83616,46343,25075,1314,1985,2818,2878,1733
Eagle Pass,TX,,1,21892,"Eagle Pass city, Texas",78852,18717,29151,3594,3780,2948,1796,2162
Easley,SC,1,1,21985,"Easley city, South Carolina",29640,28537,20784,1743,2588,2659,2188,2130
East Brunswick,NJ,,1,,,08816,,,,,,,
East Ellijay,GA,,1,25356,"East Ellijay city, Georgia",30539,19886,669,33,126,67,48,45
East Elmhurst,NY,1,,,,11370,,,,,,,
East Hanover,NJ,1,,,,07936,,,,,,,
East Haven,CT,1,,22980,"East Haven CDP, Connecticut",06512,33484,28860,2717,3843,3355,2846,2590
East Palo Alto,CA,1,,20956,"East Palo Alto city, California",94303,24586,29633,3577,5466,4009,1279,677
East Patchogue,NY,,1,22733,"East Patchogue CDP, New York",11772,36062,22637,1747,2513,3144,2530,1578
East Peoria,IL,,1,22164,"East Peoria city, Illinois",61629,33869,22876,1824,3236,2592,2452,2034
East Point,GA,,1,25720,"East Point city, Georgia",30349,23674,34977,3482,6177,4728,2778,1320
East Syracuse,NY,1,,23052,"East Syracuse village, New York",13057,26082,2968,335,383,392,214,190
East Wareham,MA,1,,,,02538,,,,,,,
East Windsor,NJ,1,,,,08520,,,,,,,
Easton,MD,,1,24475,"Easton town, Maryland",21601,34220,16551,1195,2231,1903,1738,2071
Easton,PA,1,1,82832,"West Easton borough, Pennsylvania",18045,24337,1387,134,163,136,113,101
Eden Prairie,MN,1,,18116,"Eden Prairie city, Minnesota",55344,56870,63900,3935,8485,8867,4950,2806
Edgewood,MD,1,,25150,"Edgewood CDP, Maryland",21040,28063,26219,2676,3718,3464,1778,954
Edinburg,TX,,1,22660,"Edinburg city, Texas",78539,18887,94019,11639,15108,13316,3855,3112
Edison,NJ,1,,,,08837,,,,,,,
Edmond,OK,1,2,23200,"Edmond city, Oklahoma",73013,43670,91053,9933,12093,10872,7890,5293
Edwardsville,,,1,,,,,,,,,,
Edwardsville,IL,1,,22697,"Edwardsville city, Illinois",62025,34088,24868,6227,2699,2665,1767,940
Egg Harbor Township,NJ,1,1,,,08234,,,,,,,
El Cajon,CA,1,,21712,"El Cajon city, California",92020,23723,103285,9899,16718,13503,6823,5518
El Centro,CA,1,1,21782,"El Centro city, California",92243,18934,43898,4430,6040,4996,3249,2537
El Cerrito,CA,1,,21796,"El Cerrito city, California",94530,52049,25203,1415,3714,3816,2845,2022
El Dorado,AR,1,,21070,"El Dorado city, Arkansas",71730,23890,18129,1687,2296,2358,1516,1240
El Monte,CA,1,,22230,"El Monte city, California",91731,17254,115669,12293,17758,14982,8074,6437
El Paso,TX,3,4,24000,"El Paso city, Texas",79912,21927,680354,75898,99582,85352,46785,37905
Elgin,IL,1,,23074,"Elgin city, Illinois",60123,28175,113023,10985,16534,15021,8270,5028
Elizabeth,NJ,1,,21000,"Elizabeth city, New Jersey",07202,20459,128153,12364,19907,18456,7630,5039
Elizabeth City,NC,,1,20580,"Elizabeth City city, North Carolina",27909,18129,17604,2492,2650,1926,1420,1246
Elizabethton,TN,,1,23500,"Elizabethton city, Tennessee",37643,21634,13555,1304,1725,1590,1492,1529
Elizabethtown,KY,1,1,24274,"Elizabethtown city, Kentucky",42701,28433,29474,3014,4148,3946,1988,1900
Elk Grove,CA,1,1,22020,"Elk Grove city, California",95624,34645,168503,15301,20920,23278,11551,8542
Elk Grove Village,IL,1,,23256,"Elk Grove Village village, Illinois",60007,39100,32997,2274,4414,4423,3346,2616
Elk River,MN,1,,18674,"Elk River city, Minnesota",55330,34681,24211,1489,3458,3415,1766,1168
Elkhart,IN,,1,20728,"Elkhart city, Indiana",46514,19861,52308,4399,8222,5931,3265,3486
Elkin,NC,,1,20620,"Elkin town, North Carolina",28621,24136,4179,201,536,537,370,423
Elko,NV,1,,22500,"Elko city, Nevada",89801,34898,20247,2136,3500,2679,1140,860
Elkridge,MD,,1,25750,"Elkridge CDP, Maryland",21075,40783,20519,1528,3611,3354,928,449
Ellenwood,GA,1,,,,30294,,,,,,,
Ellicott City,MD,1,,26000,"Ellicott City CDP, Maryland",21042,53779,72247,4944,6764,10147,6783,4248
Ellisville,MO,1,,21898,"Ellisville city, Missouri",63011,43960,9581,600,947,1111,971,1135
Ellsworth,ME,1,,23200,"Ellsworth city, Maine",04605,30659,7960,443,1046,935,930,694
Elmont,NY,1,,24273,"Elmont CDP, New York",11003,32369,36028,3739,4741,4691,2959,2026
Elyria,OH,1,1,25256,"Elyria city, Ohio",44035,23959,53910,5410,6938,6219,4758,3447
Emeryville,CA,1,,22594,"Emeryville city, California",94608,66046,11724,907,3827,2160,870,708
Encinitas,CA,1,,22678,"Encinitas city, California",92024,62251,62713,3421,7785,8729,6626,4498
Enfield,CT,1,,,,06082,,,,,,,
Enid,OK,,1,52600,"North Enid town, Oklahoma",73703,29717,1059,108,69,146,126,77
Epping,NH,,1,24580,"Epping CDP, New Hampshire",03042,30926,1907,81,215,208,491,71
Erie,PA,1,2,59212,"Penn State Erie (Behrend) CDP, Pennsylvania",16505,3012,1644,1620,19,0,0,0
Erwin,NC,,1,21740,"Erwin town, North Carolina",28339,21120,4956,389,671,504,495,478
Escondido,CA,2,1,22804,"Escondido city, California",92027,26766,151115,15864,25663,18835,9744,7888
Espanola,NM,,1,,,87532,,,,,,,
Essex Junction,VT,,1,24400,"Essex Junction village, Vermont",05452,39101,10395,1277,1396,1304,787,610
Estero,FL,,1,21150,"Estero village, Florida",33928,53310,32220,1358,2173,2445,8623,6420
Euclid,OH,1,,73264,"South Euclid city, Ohio",44119,29156,21688,2642,2701,2534,2138,1274
Eugene,OR,2,1,23850,"Eugene city, Oregon",97402,29306,165997,31416,24121,19854,15317,10327
Euless,TX,1,1,24768,"Euless city, Texas",76039,32810,55047,3799,10240,8127,3392,1993
Evans,GA,1,,28044,"Evans CDP, Georgia",30809,37770,34379,3117,3912,4440,2903,1792
Evanston,IL,1,,24582,"Evanston city, Illinois",60202,49263,75157,12080,9327,9494,6586,4463
Evansville,IN,2,,22000,"Evansville city, Indiana",47712,23714,118952,11516,19101,14157,10057,8694
Everett,MA,1,,21990,"Everett city, Massachusetts",02149,26591,45856,4181,7965,6693,2896,1897
Everett,WA,1,1,22640,"Everett city, Washington",98204,30670,108941,10819,19341,14306,7471,5420
Evergreen,CO,1,,25390,"Evergreen CDP, Colorado",80439,57076,8602,390,689,995,1176,473
Ewing,NJ,1,,,,08638,,,,,,,
Fairbanks,AK,1,1,24230,"Fairbanks city, Alaska",99701,30457,31677,5950,6346,3392,1533,1045
Fairborn,OH,1,,25914,"Fairborn city, Ohio",45324,26659,33433,4545,6291,4040,2638,2106
Fairfax,VA,3,,26592,"Fairfax Station CDP, Virginia",22030,73267,11934,1070,1128,1250,1562,689
Fairfield,AL,1,,25120,"Fairfield city, Alabama",35064,19874,10790,1573,1298,1374,1114,622
Fairfield,CA,1,1,23182,"Fairfield city, California",94533,33449,114101,10815,17362,14435,8229,5578
Fairfield,CT,1,,,,06824,,,,,,,
Fairlawn,OH,1,,26166,"Fairlawn city, Ohio",44333,41348,7522,335,912,1043,810,993
Fairless Hills,PA,1,,24712,"Fairless Hills CDP, Pennsylvania",19030,32814,8376,727,956,1220,728,419
Fairview Heights,IL,,1,25141,"Fairview Heights city, Illinois",62208,34167,16360,1576,2300,2137,1609,1036
Falls Church,VA,1,,27200,"Falls Church city, Virginia",22044,69775,14067,1013,1680,1944,1020,685
Fargo,ND,1,1,25700,"Fargo city, North Dakota",58103,33985,120209,21814,22541,14070,7405,6235
Farmingdale,NY,1,1,69001,"South Farmingdale CDP, New York",11735,42970,14953,1369,1658,1631,1152,1158
Farmington,MO,,1,23752,"Farmington city, Missouri",63640,22247,18269,1405,3174,2787,1604,1351
Farmington,NM,1,1,25800,"Farmington city, New Mexico",87402,27552,45582,4304,6567,6265,3077,2643
Farmington Hills,MI,1,,27440,"Farmington Hills city, Michigan",48334,44789,81482,6097,10645,9625,8831,6937
Fayetteville,AR,1,2,23290,"Fayetteville city, Arkansas",72703,29436,83736,22431,14628,9219,4242,3342
Fayetteville,GA,1,1,28968,"Fayetteville city, Georgia",30214,33812,17349,1253,2233,2068,1790,1380
Fayetteville,NC,1,3,22920,"Fayetteville city, North Carolina",28311,24336,209867,32893,38820,23130,13847,10105
Fayetteville,WV,,1,27028,"Fayetteville town, West Virginia",25840,29270,2838,302,275,402,346,168
Federal Way,WA,1,1,23515,"Federal Way city, Washington",98003,31438,96110,9535,14487,11719,7414,4834
Fenton,MI,1,,27760,"Fenton city, Michigan",48430,29564,11336,743,1739,1581,958,1085
Fenton,MO,,1,23950,"Fenton city, Missouri",63026,46080,4034,193,361,598,471,334
Fergus Falls,MN,1,,20906,"Fergus Falls city, Minnesota",56537,28900,13647,1168,1877,1223,1482,1870
Fern Park,FL,,1,22250,"Fern Park CDP, Florida",32730,27892,8340,549,1466,759,841,738
Fernley,NV,,1,24900,"Fernley city, Nevada",89408,26974,19573,1439,2679,2219,2100,1271
Festus,MO,1,,24094,"Festus city, Missouri",63028,26055,11970,964,1682,1607,989,815
Findlay,OH,,1,27048,"Findlay city, Ohio",45840,28846,41276,5083,6268,4441,3668,3234
Firestone,CO,1,,26600,"Firestone town, Colorado",80504,35029,13109,678,1877,2217,844,368
Fishkill,NY,1,,25967,"Fishkill village, New York",12524,42417,1957,147,227,322,105,212
Flagstaff,AZ,2,,23620,"Flagstaff city, Arizona",86001,26285,71202,22598,10691,6689,3825,2109
Flemington,NJ,1,,23700,"Flemington borough, New Jersey",08822,30986,4624,410,793,766,351,233
Flint,MI,2,,29000,"Flint city, Michigan",48507,16013,97161,10907,12976,11245,7230,4920
Florence,AL,1,1,26896,"Florence city, Alabama",35630,24542,40104,6636,5537,4179,3680,3593
Florence,KY,1,1,27982,"Florence city, Kentucky",41018,30856,31940,2752,5075,3966,2836,2355
Florence,SC,1,2,25810,"Florence city, South Carolina",29501,30482,37802,3111,5128,4443,3754,2601
Florida City,FL,1,,22975,"Florida City city, Florida",33034,10562,12096,1169,2038,1541,648,239
Florissant,MO,1,,24778,"Florissant city, Missouri",63033,25212,51744,3981,7764,6241,3321,3646
Flower Mound,TX,1,1,26232,"Flower Mound town, Texas",75022,52991,73252,4911,6570,10836,4618,2034
Flowery Branch,GA,1,,30340,"Flowery Branch city, Georgia",30542,32348,7151,505,1216,1083,515,341
Flowood,MS,,1,25100,"Flowood city, Mississippi",39232,37040,8870,932,1933,1112,571,350
Flushing,MI,1,,29200,"Flushing city, Michigan",48433,28647,8012,566,746,829,978,974
Flushing,NY,2,,,,11354,,,,,,,
Foley,AL,1,1,26992,"Foley city, Alabama",36535,25868,17818,1176,2271,1817,2257,2410
Folsom,CA,1,1,24638,"Folsom city, California",95630,45378,77007,4690,8455,11746,5933,4040
Folsom,PA,1,,26432,"Folsom CDP, Pennsylvania",19033,34982,8707,593,1490,1144,443,536
Fontana,CA,2,,24680,"Fontana city, California",92336,22857,208943,25609,31835,29944,9940,5316
Forest City,,,1,,,,,,,,,,
Forest Lake,MN,1,,21770,"Forest Lake city, Minnesota",55025,36089,19643,2030,2231,2580,1677,998
Forked River,NJ,1,,24180,"Forked River CDP, New Jersey",08731,41462,4701,300,471,391,663,331
Forney,TX,,1,26604,"Forney city, Texas",75126,29905,19366,1441,3095,2925,882,448
Forsyth,IL,,1,27091,"Forsyth village, Illinois",62535,46991,2964,209,206,398,264,385
Fort Collins,CO,2,1,27425,"Fort Collins city, Colorado",80524,32440,162511,37229,27693,19285,9854,6861
Fort Gratiot,MI,1,1,,,48059,,,,,,,
Fort Lauderdale,FL,1,,24000,"Fort Lauderdale city, Florida",33304,41887,178783,11248,28559,22045,18643,12643
Fort Myers,FL,2,1,49350,"North Fort Myers CDP, Florida",33905,28174,41690,1663,2713,2596,10327,8826
Fort Oglethorpe,GA,1,,30956,"Fort Oglethorpe city, Georgia",30742,23526,9852,611,1425,1165,1152,1000
Fort Payne,AL,,1,27616,"Fort Payne city, Alabama",35968,20625,14006,1372,1569,2090,1368,638
Fort Pierce,FL,1,,24387,"Fort Pierce South CDP, Florida",34947,19298,4389,146,774,355,432,227
Fort Smith,AR,1,1,24550,"Fort Smith city, Arkansas",72903,25049,87639,9053,11999,11141,7302,5126
Fort Walton Beach,FL,1,,24475,"Fort Walton Beach city, Florida",32548,28923,21845,1866,3492,2286,2148,1826
Fort Wayne,IN,1,3,25000,"Fort Wayne city, Indiana",46803,26213,264052,26369,38667,32216,21568,14479
Fort Worth,TX,4,3,27000,"Fort Worth city, Texas",76109,28330,855786,85015,138584,119626,49548,32410
Fountain,CO,,1,27865,"Fountain city, Colorado",80817,25483,29339,2347,6284,4082,987,727
Framingham,MA,,1,24960,"Framingham city, Massachusetts",01701,41182,71649,6302,10711,10109,5924,4983
Frankfort,IL,1,,27624,"Frankfort village, Illinois",60423,49858,18850,1395,1054,2340,1993,940
Frankfort,KY,,1,28900,"Frankfort city, Kentucky",40065,26825,27582,2993,4578,2958,2527,1935
Franklin,IN,,1,25450,"Franklin city, Indiana",46131,27810,24813,2220,3511,3618,1931,1937
Franklin,KY,,1,28918,"Franklin city, Kentucky",40241,18866,8762,763,1354,1159,810,594
Franklin,NC,,1,24740,"Franklinville town, North Carolina",28506,15126,1106,137,159,115,76,39
Franklin,PA,1,,27552,"Franklin Park borough, Pennsylvania",16323,58713,14448,449,1216,2100,1424,746
Franklin,TN,1,1,27740,"Franklin city, Tennessee",37064,46470,75366,6472,9025,10740,5175,4131
Franklin,VA,,1,29628,"Franklin Farm CDP, Virginia",23851,64934,18727,1206,1441,2523,1360,544
Franklin,WI,1,1,27300,"Franklin city, Wisconsin",53132,40163,36185,2348,4388,4709,3570,2638
Frazer,PA,1,,,,19355,,,,,,,
Frederick,MD,2,2,63950,"Prince Frederick CDP, Maryland",21701,26449,3189,375,528,273,261,386
Fredericksburg,VA,2,,29744,"Fredericksburg city, Virginia",22401,34722,28469,5449,4913,3385,1807,1216
Freehold,NJ,1,,25200,"Freehold borough, New Jersey",07728,27880,11855,834,1848,1727,774,658
Freeport,NY,1,,27485,"Freeport village, New York",11520,32373,43128,4530,5338,5573,3797,2921
Fremont,CA,1,1,26000,"Fremont city, California",94538,49529,233083,14544,36749,38956,15704,12522
Fremont,OH,,1,28826,"Fremont city, Ohio",43420,21098,16171,1594,2060,2113,1340,1081
Fresno,CA,3,1,27000,"Fresno city, California",93650,22277,522277,58217,84799,63988,32652,24133
Fridley,MN,1,,22814,"Fridley city, Minnesota",55432,29293,27614,2556,4726,3233,2247,1806
Frisco,TX,1,1,27684,"Frisco city, Texas",75024,52378,165700,10112,15415,33295,8456,4317
Ft. Oglethorpe,GA,,1,,,30742,,,,,,,
Fullerton,CA,1,,28000,"Fullerton city, California",92831,34296,139866,17657,21183,17563,9461,8768
Fultondale,AL,,1,28552,"Fultondale city, Alabama",35068,29373,9097,936,1253,1441,768,613
Fuquay Varina,NC,1,,,,27526,,,,,,,
Gadsden,AL,,1,28696,"Gadsden city, Alabama",35121,20796,35624,3585,4290,4645,3601,3068
Gaffney,SC,,1,28060,"Gaffney city, South Carolina",29341,16873,12526,1749,1433,1396,1206,1022
Gainesville,FL,2,2,25175,"Gainesville city, Florida",32607,22388,130790,44592,23208,11560,7737,5662
Gainesville,GA,1,1,31908,"Gainesville city, Georgia",30501,22826,38624,4621,5619,5084,2815,2324
Gainesville,TX,1,,27984,"Gainesville city, Texas",76240,21000,16275,1803,2258,1713,1193,1065
Gainesville,VA,,1,30176,"Gainesville CDP, Virginia",20155,47849,15928,891,2219,2723,882,311
Gaithersburg,MD,1,1,31175,"Gaithersburg city, Maryland",20877,42064,67529,5853,11075,9631,4391,3361
Galesburg,IL,,1,28326,"Galesburg city, Illinois",61401,21898,30986,4058,3656,3506,3179,2766
Gallatin,TN,,1,28540,"Gallatin city, Tennessee",37066,30203,36139,2600,5131,4931,3374,2257
Gallup,NM,1,,28460,"Gallup city, New Mexico",87301,21839,22105,1762,3332,2271,1623,1220
Galveston,TX,1,,28068,"Galveston city, Texas",77551,29733,50039,6344,7877,5893,4809,2948
Garden City,KS,1,,25325,"Garden City city, Kansas",67846,23591,26806,2946,4005,2892,1659,1222
Garden City,NY,,1,28178,"Garden City village, New York",14456,74777,22533,2615,1382,2450,2295,1682
Garden Grove,CA,1,,29000,"Garden Grove city, California",92843,24520,174010,17357,24336,23401,13145,10174
Gardena,CA,1,,28168,"Gardena city, California",90248,26431,59924,4759,8088,8586,5249,4459
Garland,TX,2,1,29000,"Garland city, Texas",75040,24313,237982,22948,33253,30745,17000,10253
Garner,NC,1,,25480,"Garner town, North Carolina",27529,31583,28731,2367,4714,3198,2530,1592
Garwood,NJ,1,,25800,"Garwood borough, New Jersey",07027,46740,4334,373,608,662,355,252
Gastonia,NC,1,,25580,"Gastonia city, North Carolina",28056,26137,75138,5668,10352,9077,6626,5070
Gautier,MS,,1,26860,"Gautier city, Mississippi",39553,24137,18563,1923,1955,2642,1799,987
Gaylord,MI,1,,31720,"Gaylord city, Michigan",49735,22065,3667,371,557,289,451,412
Geneva,IL,1,,28872,"Geneva city, Illinois",60134,52559,21799,1479,2089,2805,1694,1681
Georgetown,KY,,1,30700,"Georgetown city, Kentucky",40324,28354,32902,3797,5207,5126,1793,1392
Georgetown,TX,1,,29336,"Georgetown city, Texas",78628,37705,66804,5038,6653,7724,10741,8901
Germantown,MD,1,,32025,"Germantown CDP, Maryland",20876,40171,90844,7736,13406,13816,4799,2575
Gig Harbor,WA,1,,26735,"Gig Harbor city, Washington",98332,49265,9382,529,846,1412,1136,1067
Gilbert,AZ,1,1,27400,"Gilbert town, Arizona",85269,35710,237484,18672,32091,36863,14235,7263
Gilford,NH,,1,,,03249,,,,,,,
Gillette,WY,1,,31855,"Gillette city, Wyoming",82718,30264,33056,3132,5670,4451,1345,1010
Gilroy,CA,1,1,29504,"Gilroy city, California",95020,34531,55525,4881,6951,8012,3534,2410
Gladstone,MO,1,,27190,"Gladstone city, Missouri",64118,30953,26995,2391,4137,3223,2696,2117
Glasgow,KY,,1,31114,"Glasgow city, Kentucky",42141,19470,14370,1070,1547,1870,1255,1731
Glastonbury,CT,1,,31270,"Glastonbury Center CDP, Connecticut",06033,47679,7742,573,675,1226,858,752
Glen Allen,VA,1,,31200,"Glen Allen CDP, Virginia",23060,37986,16454,1025,2346,2231,1524,649
Glen Burnie,MD,2,,32650,"Glen Burnie CDP, Maryland",21060,32080,69813,6655,11350,9415,5678,3517
Glen Carbon,IL,,1,29639,"Glen Carbon village, Illinois",62034,41647,12845,770,1646,1764,1299,1146
Glen Mills,PA,1,,,,19342,,,,,,,
Glendale,AZ,3,1,27820,"Glendale city, Arizona",85301,24586,245514,25623,36670,30602,17267,10541
Glendale,CA,1,,30000,"Glendale city, California",91204,34900,200372,15129,31909,26164,17739,16579
Glendale,CO,1,,30350,"Glendale CDP, Colorado",80246,43814,138,0,24,47,44,0
Glendale,NY,1,,,,11385,,,,,,,
Glendale Heights,IL,1,,29730,"Glendale Heights village, Illinois",60139,26710,34280,2822,6548,4587,2551,1106
Glendora,CA,1,,30014,"Glendora city, California",91740,39413,51773,3890,6358,6423,4723,3632
Glenmont,NY,,1,,,12077,,,,,,,
Glenview,IL,1,,29938,"Glenview village, Illinois",60026,61644,47333,2056,3900,5073,5264,5150
Glenville,NY,,1,22084,"East Glenville CDP, New York",12302,38194,6371,430,541,854,760,764
Glenwood Springs,CO,,1,30780,"Glenwood Springs city, Colorado",81601,34188,9894,856,1292,1368,765,534
Gloucester,VA,1,1,31608,"Gloucester Courthouse CDP, Virginia",23061,31086,2361,114,257,167,266,525
Golden,CO,1,,30835,"Golden city, Colorado",80401,36071,20798,4523,3461,2629,1176,1070
Goldsboro,NC,,1,26880,"Goldsboro city, North Carolina",27534,21666,34972,4063,5473,3454,3078,2609
Goleta,CA,1,,30378,"Goleta city, California",93117,39538,30790,3860,4411,3838,2586,2577
Gonzales,LA,1,,29850,"Gonzales city, Louisiana",70737,29263,10677,782,1746,1385,1084,646
Goodyear,AZ,,1,28465,"Goodyear Village CDP, Arizona",85395,11082,270,70,73,26,5,5
Goose Creek,SC,,1,29815,"Goose Creek city, South Carolina",29445,28361,41339,5956,6725,5301,2713,1490
Goshen,IN,,1,28386,"Goshen city, Indiana",46526,21603,33915,3457,4079,4021,3006,2669
Grafton,WI,1,,30000,"Grafton village, Wisconsin",53024,39186,11627,929,1466,1605,1098,995
Granbury,TX,1,1,30416,"Granbury city, Texas",76048,33462,9593,891,1236,524,1240,1674
Grand Chute,WI,1,,,,54914,,,,,,,
Grand Forks,ND,,1,32140,"Grand Forks AFB CDP, North Dakota",58201,21690,2685,918,630,302,0,0
Grand Haven,MI,1,,33340,"Grand Haven city, Michigan",49417,33480,10974,892,1285,1275,1407,1065
Grand Island,NE,1,,19595,"Grand Island city, Nebraska",68803,26377,51187,4355,6937,6478,3696,3380
Grand Junction,CO,1,1,31660,"Grand Junction city, Colorado",81505,28909,61479,8249,8450,7230,5403,5363
Grand Prairie,TX,2,,30464,"Grand Prairie city, Texas",75052,25681,191104,19605,27381,28156,11108,5559
Grand Rapids,MI,1,1,23980,"East Grand Rapids city, Michigan",49512,61165,11642,486,1066,1734,891,454
Grand Rapids,MN,1,,25118,"Grand Rapids city, Minnesota",55744,24934,11140,756,1354,1324,1222,1276
Grandville,MI,1,1,34160,"Grandville city, Michigan",49418,30573,15952,1490,2639,1393,1558,1337
Grants Pass,OR,1,,30550,"Grants Pass city, Oregon",97526,22550,37201,3223,4738,4149,3759,3439
Great Falls,MT,1,,32800,"Great Falls city, Montana",59404,29203,58990,5886,8328,6600,5723,4940
Greece,NY,1,,30279,"Greece CDP, New York",14615,29547,14826,833,2280,1722,1470,1691
Greeley,CO,1,1,32155,"Greeley city, Colorado",80634,25200,103773,15931,15262,12015,6979,5313
Green Bay,WI,2,,31000,"Green Bay city, Wisconsin",54303,25398,104818,12100,15944,12646,7225,5731
Greeneville,TN,,1,30980,"Greeneville town, Tennessee",37616:37745,21917,14896,1137,1656,1869,1470,1530
Greenfield,IN,1,,29520,"Greenfield city, Indiana",46140,26715,21871,2174,3176,2639,2129,1821
Greenfield,MA,1,,27100,"Greenfield Town city, Massachusetts",01301,30033,17468,1241,2503,2264,2107,1441
Greenland,NH,,1,,,03840,,,,,,,
Greensboro,GA,1,,34876,"Greensboro city, Georgia",30642,14968,3356,257,652,363,198,178
Greensboro,NC,3,4,28000,"Greensboro city, North Carolina",2707,28502,288719,36693,44288,36382,22692,16345
Greensburg,PA,1,,31200,"Greensburg city, Pennsylvania",15601,24685,14377,1849,1993,1383,1567,1337
Greenville,MS,,1,29180,"Greenville city, Mississippi",38701,19388,31319,2867,4120,3607,2705,1808
Greenville,NC,,1,28080,"Greenville city, North Carolina",27858,24566,91207,25493,14179,9852,5204,3872
Greenville,OH,,1,32340,"Greenville city, Ohio",45331,24055,12824,1009,1433,1281,1407,1740
Greenville,SC,3,2,30850,"Greenville city, South Carolina",29605,38523,65727,8520,12752,8457,5093,3343
Greenville,TX,1,1,30920,"Greenville city, Texas",75402,22249,26900,2355,4349,3410,1841,1925
Greenwood,IN,1,,29898,"Greenwood city, Indiana",46143,29874,56791,5400,8068,8335,4493,3296
Greenwood,SC,,1,30895,"Greenwood city, South Carolina",29649,18656,23230,3413,2882,2784,1719,1852
Greenwood Village,CO,1,1,33035,"Greenwood Village city, Colorado",80111,88214,15677,846,1728,2148,1585,993
Greer,SC,1,,30985,"Greer city, South Carolina",29650,28647,29717,2362,5162,4096,2193,1380
Gretna,LA,1,,31915,"Gretna city, Louisiana",70053,28180,17797,1638,2688,2744,1531,1130
Griffin,GA,1,1,25440,"East Griffin CDP, Georgia",30223,18479,1316,67,197,205,97,68
Grove,,,1,,,,,,,,,,
Grove City,OH,1,,32592,"Grove City city, Ohio",43123,34273,40171,2340,5397,5452,3382,2389
Gulfport,MS,1,1,29700,"Gulfport city, Mississippi",39501,22294,71570,7259,11190,8368,5744,4016
Gun Barrel City,TX,,1,31592,"Gun Barrel City city, Texas",75147,28193,6057,368,518,801,848,569
Gurnee,IL,1,,32018,"Gurnee village, Illinois",60031,44174,30854,3152,3343,4015,2323,1603
Hackensack,NJ,1,,28680,"Hackensack city, New Jersey",07601,34728,44381,3646,8538,6795,3791,2510
Hackettstown,NJ,1,1,28710,"Hackettstown town, New Jersey",07840,34829,9501,1324,1090,1289,803,792
Hadley,MA,1,1,,,01035,,,,,,,
Hagerstown,MD,1,2,36075,"Hagerstown city, Maryland",21740,22577,40186,3299,6183,4928,2634,2265
Haines City,FL,,1,28400,"Haines City city, Florida",33844-3733,17083,23400,1668,3298,3510,1839,1396
Halethorpe,MD,1,,,,21227,,,,,,,
Halfmoon,NY,1,1,,,12065,,,,,,,
Hamburg,NY,,1,31643,"Hamburg village, New York",14075,42061,9618,699,1036,1349,981,757
Hamden,CT,1,,,,06514,,,,,,,
Hamilton,NJ,,1,29370,"Hamilton Square CDP, New Jersey",08844,44526,12542,1243,1265,1430,1289,967
Hamilton,OH,1,1,54684,"New Haven CDP (Hamilton County), Ohio",45011,21357,507,135,57,27,46,28
Hammond,IN,1,,31000,"Hammond city, Indiana",46320,21316,77071,8889,10051,10381,5457,3684
Hammond,LA,1,1,32755,"Hammond city, Louisiana",70403,20949,20444,4923,2711,2027,1465,1021
Hampton,VA,1,1,35000,"Hampton city, Virginia",23666,28384,135583,16314,21073,14840,11526,8193
Hanford,CA,1,1,31960,"Hanford city, California",93230,26456,55893,5159,8762,6983,3698,2801
Hannibal,MO,,1,30214,"Hannibal city, Missouri",63401,21442,17575,1844,2267,1927,1527,1423
Hanover,PA,1,1,32448,"Hanover borough, Pennsylvania",17331,28024,15563,1079,2230,1777,1735,1562
Happy Valley,OR,1,,32050,"Happy Valley city, Oregon",97086,51333,19471,1663,1752,3594,1118,881
Harahan,LA,1,,32930,"Harahan city, Louisiana",70123,34316,9309,737,1435,1021,1014,893
Harlingen,TX,1,1,32372,"Harlingen city, Texas",78550,18423,65449,5890,9055,7405,5046,4655
Harper Woods,MI,1,1,36700,"Harper Woods city, Michigan",48225,23659,13959,1204,1999,1672,987,899
Harrisburg,PA,1,1,32800,"Harrisburg city, Pennsylvania",17050,22043,49230,5550,8620,5602,2901,2065
Harrison,AR,1,,30460,"Harrison city, Arkansas",72601,21069,13069,1137,1984,1485,902,1316
Harrison,OH,1,,33838,"Harrison city, Ohio",45030,28469,11521,581,1811,1679,734,791
Harrisonburg,VA,1,1,35624,"Harrisonburg city, Virginia",22801,21793,53391,17759,7544,5856,2422,2278
Hartsville,SC,,1,51145,"North Hartsville CDP, South Carolina",29550,30338,2588,96,237,293,332,216
