NAME,population,under44_1,under44_2,under44_3,older65_1,older_65_2,income_per_capita,industrial_managers,construction_managers,farmers,realestate,construction_workers,state,place
"Raymondville town, Missouri",496,57,56,54,44,21,15717,,,,,,29,60734
"Washburn city, Missouri",491,47,53,54,33,68,19828,,,,,,29,77200
"La Due village, Missouri",46,0,1,16,3,2,11989,,,,,,29,39638
"Martinsburg town, Missouri",306,28,24,29,54,35,30667,,,,,,29,46460
"Savannah city, Missouri",5124,478,787,482,446,446,24401,,,,,,29,66044
"Calhoun city, Missouri",349,26,48,36,58,22,15334,,,,,,29,10450
"Clinton city, Missouri",9107,644,1098,1027,795,903,23383,,,,,,29,14986
"St. Louis city, Missouri",311273,30387,61417,40538,23067,16141,28478,,,,,,29,65000
"Wellington city, Missouri",787,69,82,100,78,70,22478,,,,,,29,78352
"Purdin city, Missouri",128,15,12,16,18,11,17333,,,,,,29,60158
"Granby city, Missouri",2311,127,330,241,225,134,18667,,,,,,29,28108
"Ritchey town, Missouri",55,4,4,10,10,6,21618,,,,,,29,62030
"Versailles city, Missouri",2760,236,380,286,217,235,17106,,,,,,29,75922
"Cape Girardeau city, Missouri",39323,8169,4970,3946,3078,3319,24895,,,,,,29,11242
"Hayti city, Missouri",2714,170,367,270,207,237,21375,,,,,,29,31132
"Pascola village, Missouri",105,11,11,10,4,2,12675,,,,,,29,56432
"Amsterdam city, Missouri",220,12,10,28,29,27,22415,,,,,,29,01090
"Foster village, Missouri",184,2,14,2,20,11,41164,,,,,,29,25372
"Merwin village, Missouri",30,0,4,10,3,3,21237,,,,,,29,47540
"Gilman City city, Missouri",413,33,51,67,34,35,19288,,,,,,29,27064
"Jacksonville village, Missouri",122,25,2,29,24,0,12333,,,,,,29,36224
"New Melle city, Missouri",442,28,19,36,83,71,43232,,,,,,29,52148
"St. Thomas town, Missouri",249,25,32,29,19,15,28648,,,,,,29,65162
"Wardsville village, Missouri",1731,129,154,267,114,56,35279,,,,,,29,77002
"Lake St. Louis city, Missouri",15646,1256,1755,1749,1897,1333,43184,,,,,,29,40043
"Houston city, Missouri",2559,252,402,280,221,278,16185,,,,,,29,33238
"Bonne Terre city, Missouri",7110,1151,1485,1285,321,297,16634,,,,,,29,07102
"Gibbs village, Missouri",107,14,6,15,10,3,13140,,,,,,29,26920
"Millard village, Missouri",71,0,16,3,17,5,15797,,,,,,29,48134
"Kirksville city, Missouri",17483,6724,2013,1223,1113,1062,17838,,,,,,29,39026
"River Bend village, Missouri",7,2,4,0,0,0,10843,,,,,,29,62056
"Corning town, Missouri",5,0,0,0,2,3,17460,,,,,,29,16462
"Maitland city, Missouri",289,33,25,48,23,13,16905,,,,,,29,45596
"Keytesville city, Missouri",390,42,21,25,42,34,17075,,,,,,29,38468
"Parkway village, Missouri",561,63,86,76,27,49,23619,,,,,,29,56306
"Elsberry city, Missouri",1958,123,242,209,194,142,19107,,,,,,29,22114
"Moscow Mills city, Missouri",2829,254,460,399,198,84,17458,,,,,,29,50204
"Truxton village, Missouri",163,5,40,20,5,2,15764,,,,,,29,74014
"New Madrid city, Missouri",2945,263,360,336,332,181,24506,,,,,,29,52076
"Agency village, Missouri",866,54,142,90,72,32,25067,,,,,,29,00298
"Brimson village, Missouri",44,1,7,1,6,8,16132,,,,,,29,08470
"Trimble city, Missouri",660,70,77,95,61,26,24904,,,,,,29,73852
"Tindall town, Missouri",82,18,4,1,6,3,29834,,,,,,29,73348
"Avondale city, Missouri",502,42,78,71,71,30,23119,,,,,,29,02800
"Montgomery City city, Missouri",2685,156,320,381,223,176,21023,,,,,,29,49574
"Breckenridge Hills city, Missouri",4654,852,868,643,190,92,23102,,,,,,29,08164
"Pasadena Hills city, Missouri",994,55,96,117,174,46,38120,,,,,,29,56396
"Theodosia village, Missouri",168,0,25,3,42,37,19599,,,,,,29,72898
"Moline Acres city, Missouri",2355,241,232,298,224,122,17097,,,,,,29,49088
"Northwoods city, Missouri",4148,308,384,419,609,708,18985,,,,,,29,53408
"Twin Oaks village, Missouri",342,22,32,41,80,33,46413,,,,,,29,74284
"Grand Pass village, Missouri",76,11,11,7,4,4,16684,,,,,,29,28198
"Mexico city, Missouri",11544,1049,1430,1358,1071,891,20492,,,,,,29,47648
"Edina city, Missouri",1139,71,134,102,146,111,19474,,,,,,29,21322
"New Florence city, Missouri",739,47,92,109,74,78,17412,,,,,,29,51770
"Gunn City village, Missouri",122,11,5,11,7,4,14880,,,,,,29,29764
"North Lilbourn village, Missouri",8,0,0,5,0,0,,,,,,,29,53138
"Lebanon city, Missouri",14637,1227,2349,1435,1166,1067,19855,,,,,,29,41168
"Essex city, Missouri",526,41,101,45,57,36,18912,,,,,,29,22600
"Sedalia city, Missouri",21642,2135,3291,2357,1834,1598,21347,,,,,,29,66440
"Lake Tapawingo city, Missouri",809,37,75,48,142,75,43917,,,,,,29,40196
"Drexel city, Missouri",806,48,94,98,133,80,27296,,,,,,29,20134
"Lee's Summit city, Missouri",96325,5835,11658,12547,8203,6045,39568,,,,,,29,41348
"West Alton city, Missouri",378,27,66,60,45,25,31327,,,,,,29,78514
"Eminence city, Missouri",666,41,71,75,68,71,20556,,,,,,29,22276
"Doolittle city, Missouri",745,45,75,121,73,50,21177,,,,,,29,19828
"Overland city, Missouri",15787,1502,2535,1878,1315,862,23147,,,,,,29,55550
"Cliff Village village, Missouri",30,0,9,5,2,1,25863,,,,,,29,14806
"Rhineland town, Missouri",125,1,23,13,6,13,26182,,,,,,29,61328
"Dadeville village, Missouri",238,10,26,27,29,14,25029,,,,,,29,17992
"Arbyrd city, Missouri",434,40,65,60,54,20,19256,,,,,,29,01630
"Osborn city, Missouri",434,32,28,85,70,26,24926,,,,,,29,55352
"Bell City city, Missouri",528,47,79,64,28,25,15636,,,,,,29,04132
"Appleton City city, Missouri",1240,95,149,95,114,184,25541,,,,,,29,01522
"New London city, Missouri",886,88,199,63,84,45,22800,,,,,,29,52058
"Weaubleau city, Missouri",587,29,75,98,44,40,14246,,,,,,29,78064
"Old Monroe city, Missouri",227,17,23,16,33,6,26068,,,,,,29,54416
"Mountain View city, Missouri",2658,289,224,283,281,335,17180,,,,,,29,50438
"La Plata city, Missouri",1362,91,180,118,133,187,20801,,,,,,29,40682
"Morrison city, Missouri",89,15,4,9,5,9,19926,,,,,,29,50060
"Washington city, Missouri",13987,988,1701,1785,1236,1402,30199,,,,,,29,77416
"St. Cloud village, Missouri",55,7,12,2,1,6,18751,,,,,,29,64172
"Berger city, Missouri",205,12,21,44,14,7,17590,,,,,,29,04888
"Clarkson Valley city, Missouri",2640,134,143,245,443,240,90021,,,,,,29,14176
"Independence city, Missouri",117207,8924,14619,14092,11642,9373,27144,,,,,,29,35000
"Horine CDP, Missouri",1295,63,205,257,99,31,18306,,,,,,29,33040
"Hoberg village, Missouri",49,3,6,3,10,9,19031,,,,,,29,32410
"Green Park city, Missouri",2628,202,339,207,314,277,29379,,,,,,29,29324
"Rolla city, Missouri",20117,5899,2828,1740,1159,1136,20753,,,,,,29,62912
"Webb City city, Missouri",11572,982,1852,1485,675,825,22749,,,,,,29,78118
"Smithton city, Missouri",517,60,34,68,26,24,19551,,,,,,29,68384
"Asbury city, Missouri",246,23,24,34,40,21,20696,,,,,,29,02098
"Homestown city, Missouri",114,12,20,6,15,0,9409,,,,,,29,32824
"Dearborn city, Missouri",461,31,45,71,32,57,22998,,,,,,29,18658
"Amazonia village, Missouri",317,41,43,27,61,28,17258,,,,,,29,01018
"Mokane city, Missouri",186,17,28,22,11,13,19419,,,,,,29,49070
"West Line village, Missouri",107,17,5,19,8,0,27050,,,,,,29,78838
"Monticello village, Missouri",132,7,33,19,6,2,28863,,,,,,29,49592
"Seymour city, Missouri",2128,206,249,245,229,233,19111,,,,,,29,66800
"Alton city, Missouri",583,17,69,30,79,149,15529,,,,,,29,00964
"Kingston city, Missouri",285,33,67,38,29,16,20431,,,,,,29,38846
"Mineral Point town, Missouri",365,37,48,32,34,14,13376,,,,,,29,48710
"Willow Springs city, Missouri",2179,227,256,339,112,193,22065,,,,,,29,80098
"Belle city, Missouri",1458,147,165,140,91,155,20761,,,,,,29,04150
"Maysville city, Missouri",1151,117,100,165,118,119,24085,,,,,,29,46946
"Portageville city, Missouri",3074,292,268,402,335,208,19400,,,,,,29,59186
"Galena city, Missouri",641,56,107,63,67,23,13171,,,,,,29,26254
"Pattonsburg city, Missouri",354,48,58,61,12,26,11624,,,,,,29,56558
"Mosby city, Missouri",164,4,13,10,10,6,18956,,,,,,29,50168
"Branson West city, Missouri",569,70,74,31,75,68,20690,,,,,,29,07989
"Marthasville city, Missouri",1328,85,158,244,49,67,23481,,,,,,29,46424
"Nevada city, Missouri",8252,980,935,728,823,912,21549,,,,,,29,51644
"Williamsville city, Missouri",403,51,38,45,54,37,17697,,,,,,29,80026
"Ravenwood town, Missouri",449,59,95,30,51,14,22524,,,,,,29,60716
"Centralia city, Missouri",4207,156,807,350,247,518,24427,,,,,,29,12898
"Seneca city, Missouri",2570,178,426,215,291,232,17580,,,,,,29,66674
"Freeburg village, Missouri",498,34,36,65,61,55,22495,,,,,,29,25822
"Alma city, Missouri",420,27,35,51,43,52,30485,,,,,,29,00802
"Fort Leonard Wood CDP, Missouri",15882,7965,3493,1039,7,0,19958,,,,,,29,25264
"Jasper city, Missouri",968,68,127,93,92,73,19573,,,,,,29,36512
"Rosebud city, Missouri",573,54,64,37,42,29,18112,,,,,,29,63110
"Goss town, Missouri",0,0,0,0,0,0,-666666666,,,,,,29,28000
"Kirbyville village, Missouri",195,13,5,32,22,3,15724,,,,,,29,39008
"Pendleton village, Missouri",34,1,5,0,2,5,28303,,,,,,29,56882
"Plato village, Missouri",77,8,12,4,9,11,25579,,,,,,29,58088
"Stoutland city, Missouri",185,4,32,14,25,6,15406,,,,,,29,71008
"Allendale village, Missouri",64,0,18,1,9,12,20120,,,,,,29,00712
"Preston village, Missouri",330,36,28,25,27,37,14633,,,,,,29,59870
"Riverview Estates village, Missouri",79,4,8,2,13,2,44514,,,,,,29,62210
"Dardenne Prairie city, Missouri",13139,1009,888,1837,1082,696,48736,,,,,,29,18253
"Evergreen village, Missouri",16,2,6,0,1,1,27950,,,,,,29,22951
"Goodnight village, Missouri",20,0,0,4,7,0,21435,,,,,,29,27900
"South Greenfield village, Missouri",124,0,10,1,14,12,10672,,,,,,29,68888
"Hannibal city, Missouri",17575,1844,2267,1927,1527,1423,21442,,,,,,29,30214
"Fair Play city, Missouri",471,28,35,76,37,44,12357,,,,,,29,23428
"Perry city, Missouri",690,37,71,41,115,87,22050,,,,,,29,57080
"Clark city, Missouri",286,21,42,36,29,6,15524,,,,,,29,14068
"Whiteman AFB CDP, Missouri",4093,1642,914,335,0,0,18513,,,,,,29,79432
"Hughesville village, Missouri",164,12,22,29,6,12,21868,,,,,,29,33652
"Glasgow city, Missouri",1163,80,155,129,127,141,26741,,,,,,29,27208
"Hurdland city, Missouri",148,34,16,24,19,4,16099,,,,,,29,33904
"Conway city, Missouri",674,86,46,79,58,37,18486,,,,,,29,16192
"Amity town, Missouri",21,0,0,0,6,12,17024,,,,,,29,01054
"Clarksdale city, Missouri",283,16,24,14,36,40,21913,,,,,,29,14158
"Union Star town, Missouri",377,14,60,39,47,32,24225,,,,,,29,75130
"Blue Springs city, Missouri",54370,3640,7864,7313,4390,2779,31388,,,,,,29,06652
"Albany city, Missouri",2106,222,231,264,179,207,19733,,,,,,29,00514
"Commerce village, Missouri",73,23,0,2,9,10,19381,,,,,,29,15760
"Scott City city, Missouri",4503,357,548,579,442,219,21665,,,,,,29,66368
"Sikeston city, Missouri",16366,1238,2163,1757,1628,1475,23534,,,,,,29,67790
"Baldwin Park village, Missouri",97,0,11,12,3,4,20436,,,,,,29,03124
"Harrisonville city, Missouri",10023,1064,1435,1248,776,668,21931,,,,,,29,30610
"Raymore city, Missouri",20743,1489,2046,3001,1832,1779,35912,,,,,,29,60752
"Crystal City city, Missouri",4752,447,669,577,390,432,25631,,,,,,29,17632
"Koshkonong town, Missouri",206,10,27,38,16,7,12392,,,,,,29,39440
"Herculaneum city, Missouri",3935,316,440,462,282,389,27023,,,,,,29,31708
"Exeter city, Missouri",821,68,81,103,49,49,18019,,,,,,29,23122
"Westphalia city, Missouri",393,21,40,74,31,100,25026,,,,,,29,78910
"Lambert village, Missouri",0,0,0,0,0,0,-666666666,,,,,,29,40448
"Oran city, Missouri",1532,129,206,184,153,103,20117,,,,,,29,54758
"Bertrand city, Missouri",827,46,82,53,94,124,19045,,,,,,29,04996
"Ste. Genevieve city, Missouri",4444,255,615,548,394,483,27288,,,,,,29,64180
"Truesdale city, Missouri",781,77,129,93,34,34,14859,,,,,,29,73978
"Shelbyville city, Missouri",489,46,50,44,85,51,28333,,,,,,29,67196
"Wilson City village, Missouri",51,4,0,6,8,3,13467,,,,,,29,80260
"Bellefontaine Neighbors city, Missouri",10613,1280,1001,1258,933,851,22604,,,,,,29,04222
"Lakeshire city, Missouri",1658,98,269,209,201,105,31983,,,,,,29,40088
"Manchester city, Missouri",18189,1837,2077,2353,1735,1146,41472,,,,,,29,45668
"Chula city, Missouri",218,22,18,12,27,5,17381,,,,,,29,13852
"Mount Vernon city, Missouri",4493,324,515,453,491,714,22508,,,,,,29,50672
"Bella Villa city, Missouri",841,77,103,115,72,44,26154,,,,,,29,04114
"Beverly Hills city, Missouri",505,44,74,57,42,22,16871,,,,,,29,05248
"Black Jack city, Missouri",6943,531,908,976,640,606,25093,,,,,,29,06004
"Ellisville city, Missouri",9581,600,947,1111,971,1135,43960,,,,,,29,21898
"Glen Echo Park village, Missouri",134,0,16,23,8,15,33072,,,,,,29,27370
"Grantwood Village town, Missouri",1038,58,31,137,84,110,49126,,,,,,29,28630
"Hillsdale village, Missouri",1335,118,186,190,72,33,11814,,,,,,29,32266
"Ladue city, Missouri",8586,449,424,888,1107,851,109849,,,,,,29,39656
"Lemay CDP, Missouri",16814,1613,2097,2091,1622,1118,24314,,,,,,29,41438
"Mehlville CDP, Missouri",28376,2816,4930,3118,2793,2601,32645,,,,,,29,47180
"Town and Country city, Missouri",11066,653,493,948,1587,1656,92664,,,,,,29,73618
"Wilbur Park village, Missouri",554,31,87,62,36,42,34584,,,,,,29,79756
"Camden city, Missouri",296,19,17,29,93,20,24660,,,,,,29,10738
"Henrietta city, Missouri",353,32,42,56,33,11,18590,,,,,,29,31654
"Florida village, Missouri",0,0,0,0,0,0,-666666666,,,,,,29,24760
"Ballwin city, Missouri",30332,1976,3237,3596,2943,2468,46068,,,,,,29,03160
"Berkeley city, Missouri",8991,714,1347,1170,723,522,16979,,,,,,29,04906
"Bridgeton city, Missouri",11690,875,1646,1350,1087,1116,31879,,,,,,29,08398
"Des Peres city, Missouri",8567,394,643,1095,1134,750,64126,,,,,,29,19270
"Edmundson city, Missouri",1067,48,190,158,64,23,16477,,,,,,29,21376
"Fenton city, Missouri",4034,193,361,598,471,334,46080,,,,,,29,23950
"Maryland Heights city, Missouri",27128,2806,5343,3319,2186,1815,34704,,,,,,29,46586
"Frontenac city, Missouri",3525,193,73,232,445,382,90191,,,,,,29,26110
"Oakland city, Missouri",1558,85,136,134,180,390,45321,,,,,,29,53750
"Jennings city, Missouri",14794,1458,2379,1457,1209,804,18630,,,,,,29,37178
"Normandy city, Missouri",4931,898,705,365,337,580,20312,,,,,,29,52796
"Olivette city, Missouri",7837,334,854,1098,727,371,47200,,,,,,29,54650
"Pasadena Park village, Missouri",480,20,63,63,64,22,38678,,,,,,29,56414
"Richmond Heights city, Missouri",8457,444,1819,1186,632,631,55959,,,,,,29,61706
"Riverview village, Missouri",2872,248,582,267,206,123,22677,,,,,,29,62192
"Webster Groves city, Missouri",23029,1786,2894,2747,1923,2200,48689,,,,,,29,78154
"Greenville city, Missouri",546,49,71,39,57,56,18149,,,,,,29,29476
"Fredericktown city, Missouri",3990,363,917,296,282,370,18728,,,,,,29,25768
"Old Appleton town, Missouri",65,16,3,10,4,3,12471,,,,,,29,54200
"Dalton town, Missouri",3,0,0,0,0,1,14567,,,,,,29,18118
"Leslie village, Missouri",123,12,16,17,4,0,13310,,,,,,29,41690
"Villa Ridge CDP, Missouri",2497,72,254,312,334,236,27999,,,,,,29,76192
"Cave town, Missouri",4,0,0,0,3,1,12350,,,,,,29,12079
"Lilbourn city, Missouri",1165,96,155,197,80,75,15028,,,,,,29,42536
"Matthews city, Missouri",726,31,97,80,78,66,15660,,,,,,29,46730
"Tallapoosa city, Missouri",134,8,9,25,4,5,11964,,,,,,29,72196
"Brownington town, Missouri",124,2,39,8,4,5,19339,,,,,,29,08902
"Montrose city, Missouri",328,8,35,40,36,20,28392,,,,,,29,49664
"Pilot Grove city, Missouri",650,47,68,65,92,103,20583,,,,,,29,57602
"Saginaw village, Missouri",410,16,53,27,80,20,26455,,,,,,29,63902
"Richland city, Missouri",1895,139,279,206,154,173,23262,,,,,,29,61562
"Waynesville city, Missouri",5262,401,1037,471,234,368,22320,,,,,,29,77992
"Affton CDP, Missouri",20187,2137,2981,2272,1938,1732,30641,,,,,,29,00280
"Jerico Springs village, Missouri",224,27,25,35,33,15,23181,,,,,,29,37214
"Holcomb city, Missouri",580,42,63,91,54,44,18231,,,,,,29,32536
"Aurora city, Missouri",7435,690,1052,826,626,536,20127,,,,,,29,02548
"Country Life Acres village, Missouri",84,3,6,1,11,11,120689,,,,,,29,16876
"Creve Coeur city, Missouri",18445,1325,1995,1790,1868,2577,75244,,,,,,29,17272
"Glendale city, Missouri",5888,228,461,824,560,364,61304,,,,,,29,27334
"Monett city, Missouri",8917,896,1256,1146,771,575,21702,,,,,,29,49196
"Stotts City city, Missouri",129,2,20,21,5,7,15146,,,,,,29,70990
"Wheeling city, Missouri",304,21,24,30,27,23,17752,,,,,,29,79180
"Wildwood city, Missouri",35517,2418,2496,4084,2890,1665,59398,,,,,,29,79820
"Winchester city, Missouri",1482,107,243,179,78,181,28501,,,,,,29,80314
"Bagnell town, Missouri",34,0,2,0,6,3,17471,,,,,,29,02962
"Eldon city, Missouri",4591,318,709,471,380,494,18769,,,,,,29,21484
"St. Elizabeth village, Missouri",332,15,66,40,29,51,31886,,,,,,29,64190
"Hardin city, Missouri",622,67,76,67,40,13,23558,,,,,,29,30322
"Freistatt village, Missouri",181,15,22,23,22,15,22373,,,,,,29,25912
"Marionville city, Missouri",2350,159,475,159,161,258,16687,,,,,,29,46172
"Pierce City city, Missouri",1313,60,143,192,78,98,17239,,,,,,29,57494
"Verona town, Missouri",481,61,42,38,35,32,14049,,,,,,29,75886
"De Witt city, Missouri",108,5,11,23,14,8,15269,,,,,,29,19378
"Knox City city, Missouri",241,26,15,8,30,11,14250,,,,,,29,39278
"Phillipsburg village, Missouri",164,9,16,26,7,27,17588,,,,,,29,57368
"La Monte city, Missouri",1380,204,186,188,82,33,15636,,,,,,29,40520
"Buckner city, Missouri",3058,237,378,480,227,135,25916,,,,,,29,09424
"Grandview city, Missouri",25174,2612,4049,2874,1825,1041,23060,,,,,,29,28324
"Greenwood city, Missouri",6092,308,918,958,236,250,35163,,,,,,29,29494
"Lone Jack city, Missouri",1280,101,214,124,81,46,33215,,,,,,29,43760
"Raytown city, Missouri",29216,2541,3755,3976,2504,2278,26928,,,,,,29,60788
"New Hampton city, Missouri",297,11,44,22,21,19,15799,,,,,,29,51860
"Cottleville city, Missouri",4882,489,686,612,330,168,47553,,,,,,29,16678
"Clifton Hill city, Missouri",85,9,14,5,3,10,16318,,,,,,29,14896
"O'Fallon city, Missouri",86340,6315,11069,12958,5556,4189,37719,,,,,,29,54074
"Cabool city, Missouri",2337,192,205,266,256,298,14980,,,,,,29,10288
"Madison city, Missouri",663,71,58,99,35,54,17251,,,,,,29,45470
"Higbee city, Missouri",541,38,69,70,71,22,20618,,,,,,29,31924
"Kelso village, Missouri",568,53,71,78,43,74,24962,,,,,,29,38216
"Cleveland city, Missouri",572,66,38,50,78,23,39782,,,,,,29,14770
"Freeman city, Missouri",517,81,115,49,40,20,28974,,,,,,29,25894
"Barnhart CDP, Missouri",6318,461,1359,691,422,132,31794,,,,,,29,03394
"Cedar Hill CDP, Missouri",1751,137,272,186,156,37,30621,,,,,,29,12358
"High Ridge CDP, Missouri",4151,343,427,778,415,211,29864,,,,,,29,32140
"Licking city, Missouri",2844,262,448,425,227,321,11368,,,,,,29,42464
"Middletown town, Missouri",267,30,29,31,21,13,15316,,,,,,29,47900
"Forest City city, Missouri",250,25,29,23,30,24,21564,,,,,,29,25066
"Branson city, Missouri",11345,1144,1232,1405,1583,1200,21721,,,,,,29,07966
"Lake Mykee Town village, Missouri",450,38,62,56,47,29,26207,,,,,,29,39990
"Wheatland city, Missouri",293,21,16,36,71,32,13824,,,,,,29,79090
"Mound City city, Missouri",1114,73,103,139,90,168,28449,,,,,,29,50312
"Strasburg city, Missouri",129,16,4,22,2,2,19807,,,,,,29,71098
"Sappington CDP, Missouri",7577,369,868,829,927,997,39585,,,,,,29,65954
"Vinita Park city, Missouri",1931,185,376,223,178,102,20709,,,,,,29,76246
"Lake Annette city, Missouri",114,0,9,30,10,8,23176,,,,,,29,39845
"Ava city, Missouri",2916,200,336,311,336,250,15371,,,,,,29,02674
"Cedar Hill Lakes village, Missouri",258,41,30,10,24,11,26745,,,,,,29,12376
"Olympian Village city, Missouri",606,27,78,109,41,29,20628,,,,,,29,54686
"Pevely city, Missouri",5784,681,938,781,346,272,26358,,,,,,29,57278
"Baring city, Missouri",136,18,12,17,12,4,21170,,,,,,29,03322
"Levasy city, Missouri",82,8,15,8,11,4,28707,,,,,,29,41762
"Turney village, Missouri",216,31,22,22,7,2,20208,,,,,,29,74176
"Fillmore city, Missouri",170,30,23,21,8,8,22209,,,,,,29,24184
"Argyle town, Missouri",193,5,31,18,10,31,26680,,,,,,29,01828
"Meta city, Missouri",196,21,14,34,20,12,21199,,,,,,29,47594
"Thayer city, Missouri",2292,221,256,237,247,261,16835,,,,,,29,72826
"Cameron city, Missouri",9665,944,1891,1495,613,773,15245,,,,,,29,10828
"Weatherby town, Missouri",75,6,5,7,12,3,13972,,,,,,29,78028
"Champ village, Missouri",5,0,0,0,3,2,30600,,,,,,29,13078
"Concord CDP, Missouri",17652,1390,1864,1746,2283,1797,35066,,,,,,29,16030
"Country Club Hills city, Missouri",1393,129,211,113,76,21,13654,,,,,,29,16822
"Dellwood city, Missouri",4912,398,716,553,207,220,19947,,,,,,29,19018
"Ferguson city, Missouri",20931,2318,2461,2588,1603,1005,21210,,,,,,29,23986
"Hazelwood city, Missouri",25399,2646,3414,3556,2001,1414,32234,,,,,,29,31276
"Kinloch city, Missouri",276,70,45,10,22,8,12683,,,,,,29,38972
"Mackenzie village, Missouri",174,8,36,19,10,5,33145,,,,,,29,45110
"Pacific city, Missouri",6329,511,1126,689,519,452,24602,,,,,,29,55910
"Sunset Hills city, Missouri",8488,526,588,846,1024,1377,57468,,,,,,29,71746
"Uplands Park village, Missouri",357,18,32,64,34,37,17133,,,,,,29,75238
"Valley Park city, Missouri",6832,473,1270,918,438,691,34309,,,,,,29,75472
"Wellston city, Missouri",1775,161,199,181,95,102,12349,,,,,,29,78370
"Woodson Terrace city, Missouri",4062,254,643,667,282,137,21471,,,,,,29,80962
"Harwood village, Missouri",87,0,10,5,4,0,13669,,,,,,29,30862
"Tuscumbia town, Missouri",183,20,23,18,16,4,18262,,,,,,29,74194
"Roscoe village, Missouri",103,0,5,10,10,17,24537,,,,,,29,63074
"Metz town, Missouri",33,0,8,3,2,6,12452,,,,,,29,47612
"Sheldon city, Missouri",427,29,50,42,47,18,17096,,,,,,29,67214
"Mooresville village, Missouri",154,0,25,14,11,12,23389,,,,,,29,49790
"Crystal Lakes city, Missouri",335,20,22,51,36,14,29164,,,,,,29,17660
"Homestead village, Missouri",124,5,13,17,14,5,20628,,,,,,29,32806
"Amoret city, Missouri",178,23,13,22,22,11,19215,,,,,,29,01072
"Shell Knob CDP, Missouri",1246,15,51,118,380,182,26684,,,,,,29,67232
"Norwood city, Missouri",900,39,116,131,55,22,14289,,,,,,29,53454
"Adrian city, Missouri",1793,193,198,243,171,240,23694,,,,,,29,00244
"Rich Hill city, Missouri",1425,95,162,120,142,137,18839,,,,,,29,61418
"New Bloomfield city, Missouri",544,46,89,78,36,28,24545,,,,,,29,51680
"Leasburg village, Missouri",389,72,27,39,26,14,13083,,,,,,29,41114
"Cross Timbers city, Missouri",185,2,46,4,39,2,16675,,,,,,29,17524
"Gideon city, Missouri",1202,146,85,118,124,147,14598,,,,,,29,26974
"Howardville city, Missouri",279,27,52,34,4,22,15675,,,,,,29,33364
"Marston city, Missouri",328,18,34,25,25,24,13143,,,,,,29,46406
"Parma city, Missouri",660,61,63,78,61,43,9764,,,,,,29,56342
"Bolivar city, Missouri",10760,2347,1346,1236,908,825,19095,,,,,,29,06976
"Flemington village, Missouri",74,4,5,7,7,12,18088,,,,,,29,24580
"St. Joseph city, Missouri",76465,7524,11561,9567,6310,5155,24687,,,,,,29,64550
"Carterville city, Missouri",2134,156,269,330,135,72,16460,,,,,,29,11638
"Purcell city, Missouri",468,34,67,70,16,16,17788,,,,,,29,60140
"Memphis city, Missouri",1803,128,129,236,197,219,20285,,,,,,29,47270
"Mountain Grove city, Missouri",4608,298,460,495,562,466,18066,,,,,,29,50402
"Columbia city, Missouri",120248,31535,18988,13118,7131,5178,28962,,,,,,29,15670
"Passaic town, Missouri",20,0,3,2,2,0,21535,,,,,,29,56468
"Lock Springs village, Missouri",37,0,7,1,2,5,18249,,,,,,29,43472
"Ironton city, Missouri",1674,171,176,153,282,165,20465,,,,,,29,35468
"McBaine town, Missouri",9,0,0,1,0,0,20733,,,,,,29,44768
"Oakwood Park village, Missouri",284,28,42,59,7,21,39634,,,,,,29,53948
"Randolph village, Missouri",21,2,0,0,2,3,30838,,,,,,29,60590
"Smithville city, Missouri",9541,663,1222,1412,611,571,34734,,,,,,29,68420
"Watson village, Missouri",38,6,7,6,4,5,23363,,,,,,29,77848
"Nelson city, Missouri",154,7,11,30,25,5,22521,,,,,,29,51500
"Sweet Springs city, Missouri",1572,150,179,197,162,118,19556,,,,,,29,71890
"Farber city, Missouri",322,35,34,25,67,27,22687,,,,,,29,23662
"Steele city, Missouri",2188,294,223,270,166,161,19915,,,,,,29,70558
"Wright City city, Missouri",3593,222,667,395,243,112,20150,,,,,,29,81124
"Novelty village, Missouri",175,17,13,13,5,17,17323,,,,,,29,53516
"Windsor city, Missouri",2990,243,415,308,285,213,19474,,,,,,29,80350
"Braymer city, Missouri",686,56,60,71,98,78,22388,,,,,,29,08038
"Polo city, Missouri",551,71,48,55,54,24,20645,,,,,,29,58916
"Greenfield city, Missouri",1503,98,136,195,170,197,15988,,,,,,29,29206
"Lockwood city, Missouri",1154,143,78,113,119,155,16706,,,,,,29,43490
"Lanagan town, Missouri",411,27,64,70,24,18,14928,,,,,,29,40592
"Baker village, Missouri",0,0,0,0,0,0,-666666666,,,,,,29,03034
"Bernie city, Missouri",1957,149,258,150,192,135,16214,,,,,,29,04960
"Neelyville city, Missouri",354,26,26,38,27,7,12486,,,,,,29,51446
"Longtown town, Missouri",123,23,7,21,14,2,24388,,,,,,29,43940
"Renick village, Missouri",152,17,20,17,23,2,24208,,,,,,29,61166
"Seligman city, Missouri",862,87,66,109,73,19,15220,,,,,,29,66530
"Grand Falls Plaza town, Missouri",118,9,6,16,16,11,25258,,,,,,29,28170
"Birch Tree city, Missouri",705,47,90,72,36,70,12046,,,,,,29,05734
"Ewing city, Missouri",383,15,36,39,55,26,21171,,,,,,29,23032
"Miami city, Missouri",92,0,19,10,9,5,20905,,,,,,29,47684
"Rea city, Missouri",38,0,0,0,7,7,33900,,,,,,29,60842
"Darlington village, Missouri",64,4,4,6,14,6,16003,,,,,,29,18316
